# 브런치 발행 글 목록
# 새 글 발행 시 아래에 추가: YYYY-MM-DD | 제목
# Claude Code가 매일 이 파일을 읽어 중복 글감을 자동으로 걸러냅니다.

2026-05-07 | 평가위원이 제안서에서 5초 안에 탈락시키는 이유
2026-05-08 | 기업부설연구소 설립, 선택인가 필수인가
2026-05-08 | 1인 창업자가 투자받기 위해 먼저 해야 할 것들
2026-05-11 | 1편 — 정부지원사업, 나도 받을 수 있을까?
2026-05-11 | 2편 — 창업 단계별로 받을 수 있는 정부지원사업
2026-05-18 | 이틀간 170개 사업제안서를 심사하고 나서
2026-05-18 | 스타트업 창업에서 파산까지
2026-05-21 | AI로 쓴 사업계획서가 탈락하는 이유
2026-05-21 | 사업계획서는 PSST 구조를 모르면 탈락한다
2026-05-21 | 매번 프롬프트를 새로 만드는 일이 번거로웠다
2026-05-22 | AI시대 창업 실행전략
2026-05-28 | 정부지원사업, 공고 뜨고 나서 시작하면 이미 늦다
